Job Title,Work Type,Average Normalized Salary,AI Impact,Tasks,AI Models,AI Workload Ratio,Domain
Direct Care Professional,Full Time,39026.0,15%,665,2761,0.2408547627671133,Law Enforcement
Direct Care Worker,Part Time,38250.0,20%,6,20,0.3,Medical & Healthcare
Direct Support Professional,Full Time,37150.88,86%,117,1018,0.1149312377210216,Law Enforcement
Direct Support Professional,Part Time,36857.600000000006,86%,117,1018,0.1149312377210216,Law Enforcement
Director,Full Time,163434.54689681335,5%,1316,4695,0.2802981895633653,Leadership & Strategy
Director,Other,145956.4588235294,5%,1316,4695,0.2802981895633653,Leadership & Strategy
Director,Part Time,83920.0,5%,1316,4695,0.2802981895633653,Leadership & Strategy
Director Of Training,Full Time,127600.0,20%,9,57,0.1578947368421052,Construction
Dishwasher,Full Time,37423.1,80%,3,31,0.0967741935483871,Leadership & Strategy
Dishwasher,Other,37440.0,80%,3,31,0.0967741935483871,Leadership & Strategy
Dishwasher,Part Time,34320.0,80%,3,31,0.0967741935483871,Leadership & Strategy
Dispatcher,Full Time,47838.8,20%,873,3839,0.2274029695233133,Administrative & Clerical
Dispatcher,Part Time,42510.0,20%,873,3839,0.2274029695233133,Administrative & Clerical
Distribution Manager,Full Time,85723.04999999999,80%,198,1436,0.1378830083565459,Medical & Healthcare
Distribution Supervisor,Full Time,71325.0,22%,8,57,0.1403508771929824,Law Enforcement
District Manager,Full Time,99377.27272727272,25%,198,1529,0.1294964028776978,Construction
District Sales Manager,Full Time,104362.93576923077,30%,247,1635,0.1510703363914373,Supply Chain & Logistics
Diver,Full Time,155833.33333333334,10%,240,839,0.2860548271752086,Law Enforcement
Diver,Other,55120.0,10%,240,839,0.2860548271752086,Law Enforcement
Doctor,Full Time,83864.0,5%,555,2058,0.2696793002915452,Communication & PR
Document Specialist,Full Time,46410.0,55%,111,911,0.1218441273326015,Supply Chain & Logistics
Document Specialist,Other,38.5,55%,111,911,0.1218441273326015,Supply Chain & Logistics
Doula,Part Time,48880.0,10%,267,1205,0.2215767634854771,Law Enforcement
Drafter,Full Time,62611.36,60%,165,1622,0.1017262638717632,Hospitality
Drafter,Other,67600.0,60%,165,1622,0.1017262638717632,Hospitality
Draftsman,Full Time,48880.0,50%,149,1375,0.1083636363636363,Sales & Marketing
Driver,Full Time,50854.43287037037,40%,59,204,0.2892156862745098,Leadership & Strategy
Driver,Other,55120.0,40%,59,204,0.2892156862745098,Leadership & Strategy
Driver,Part Time,36408.43636363636,40%,59,204,0.2892156862745098,Leadership & Strategy
Drywall Finisher,Full Time,91936.0,20%,39,433,0.0900692840646651,Administrative & Clerical
EMT,Full Time,45026.384000000005,20%,142,888,0.1599099099099099,Communication & PR
EMT,Part Time,64896000.0,20%,142,888,0.1599099099099099,Communication & PR
Early Childhood Teacher,Full Time,51422.0,50%,73,562,0.1298932384341637,Communication & PR
Early Childhood Teacher,Part Time,75499.49,50%,73,562,0.1298932384341637,Communication & PR
Echocardiographer,Part Time,61000.0,30%,120,687,0.1746724890829694,Data & IT
Ecologist,Full Time,48500.0,20%,145,1121,0.1293487957181088,Communication & PR
Ecommerce,Full Time,108853.76923076923,70%,161,1513,0.1064111037673496,Administrative & Clerical
Ecommerce,Other,55640.0,70%,161,1513,0.1064111037673496,Administrative & Clerical
Economist,Full Time,150453.91666666666,25%,214,1450,0.1475862068965517,Hospitality
Editor,Full Time,89082.26315789473,20%,265,1649,0.1607034566403881,Medical & Healthcare
Editor,Other,71066.66666666667,20%,265,1649,0.1607034566403881,Medical & Healthcare
Editor,Part Time,193399.0,20%,265,1649,0.1607034566403881,Medical & Healthcare
Education Consultant,Full Time,78384.8,40%,618,1955,0.3161125319693094,Hospitality
Education Teacher,Full Time,77758.2626,20%,153,1101,0.1389645776566757,Hospitality
Education Teacher,Other,98800.0,20%,153,1101,0.1389645776566757,Hospitality
Education Teacher,Part Time,15000.0,20%,153,1101,0.1389645776566757,Hospitality
Educator,Full Time,67208.45333333334,20%,166,1160,0.143103448275862,Communication & PR
Educator,Other,85009.6,20%,166,1160,0.143103448275862,Communication & PR
Educator,Part Time,44017.25714285714,20%,166,1160,0.143103448275862,Communication & PR
Electrical Designer,Full Time,87687.27318181818,42%,415,1217,0.3410024650780608,Construction
Electrical Designer,Other,93600.0,42%,415,1217,0.3410024650780608,Construction
Electrical Drafter,Other,72800.0,65%,123,920,0.133695652173913,Supply Chain & Logistics
Electrical Engineer,Full Time,117828.91702127659,50%,130,847,0.153482880755608,Administrative & Clerical
Electrical Engineer,Other,115070.98181818183,50%,130,847,0.153482880755608,Administrative & Clerical
Electrical Technician,Full Time,76434.24,70%,6,45,0.1333333333333333,Supply Chain & Logistics
Electrical Technician,Other,66560.0,70%,6,45,0.1333333333333333,Supply Chain & Logistics
Electrician,Full Time,71157.75483870968,15%,324,1222,0.265139116202946,Communication & PR
Electrician,Part Time,58073.600000000006,15%,324,1222,0.265139116202946,Communication & PR
Electromechanical Technician,Full Time,83200.0,15%,718,2526,0.2842438638163104,Communication & PR
Electronic Technician,Full Time,60800.0,20%,144,1129,0.1275465013286094,Construction
Electronic Technician,Other,48516.0,20%,144,1129,0.1275465013286094,Construction
Electronics Engineer,Full Time,135000.0,42%,412,1132,0.3639575971731448,Sales & Marketing
Electronics Technician,Full Time,83751.0,40%,339,966,0.3509316770186335,Communication & PR
Electronics Technician,Other,73091.2,40%,339,966,0.3509316770186335,Communication & PR
Elementary School Teacher,Full Time,69562.5,20%,159,1102,0.1442831215970962,Administrative & Clerical
Elevator Mechanic,Full Time,45.0,25%,58,490,0.1183673469387755,Hospitality
Embedded Engineer,Full Time,88375.0,48%,477,1899,0.2511848341232227,Data & IT
Embedded Engineer,Other,96720.0,48%,477,1899,0.2511848341232227,Data & IT
Embedded Systems Engineer,Full Time,112000.0,70%,119,853,0.1395076201641266,Hospitality
Embryologist,Full Time,125000.0,60%,50,569,0.0878734622144112,Medical & Healthcare
Emergency Room Nurse,Full Time,69149.59999999999,5%,661,2774,0.238284066330209,Hospitality
Emergency Room Nurse,Other,113360.0,5%,661,2774,0.238284066330209,Hospitality
Emergency Room Technician,Full Time,68629.59999999999,20%,140,863,0.1622247972190034,Leadership & Strategy
Employee Relations Manager,Full Time,102666.66666666667,25%,212,1356,0.1563421828908554,Hospitality
Endocrinologist,Full Time,194000.0,10%,315,1321,0.2384557153671461,Construction
Endodontist,Part Time,226000.0,5%,494,1793,0.275515895147797,Administrative & Clerical
Endoscopy Technician,Full Time,44855.2,30%,118,687,0.1717612809315866,Medical & Healthcare
Energy Analyst,Full Time,79250.0,65%,164,1066,0.1538461538461538,Administrative & Clerical
Energy Engineer,Full Time,117500.0,32%,182,1114,0.163375224416517,Sales & Marketing
Energy Engineer,Other,37440.0,32%,182,1114,0.163375224416517,Sales & Marketing
Engineer,Full Time,136163.27748700173,15%,814,3007,0.2707016960425673,Administrative & Clerical
Engineer,Other,130127.71052631579,15%,814,3007,0.2707016960425673,Administrative & Clerical
Engineer,Part Time,94484.375,15%,814,3007,0.2707016960425673,Administrative & Clerical
Engineering Project Manager,Full Time,125564.9,70%,176,1446,0.1217150760719225,Hospitality
English Teacher,Full Time,81950.0,20%,154,1083,0.1421975992613111,Medical & Healthcare
Enterprise Architect,Full Time,180140.9090909091,25%,242,1885,0.1283819628647214,Communication & PR
Enterprise Architect,Other,165805.7142857143,25%,242,1885,0.1283819628647214,Communication & PR
Environmental Analyst,Full Time,70000.0,65%,164,1067,0.1537019681349578,Leadership & Strategy
Environmental Engineer,Full Time,95134.42857142857,60%,115,757,0.1519154557463672,Sales & Marketing
Environmental Engineer,Part Time,95680.0,60%,115,757,0.1519154557463672,Sales & Marketing
Environmental Manager,Full Time,103773.33333333333,20%,205,1373,0.1493080844865258,Medical & Healthcare
Environmental Planner,Full Time,71905.0,25%,268,1848,0.145021645021645,Communication & PR
Environmental Scientist,Full Time,71291.6,40%,521,1566,0.3326947637292465,Leadership & Strategy
Environmental Technician,Full Time,57843.833333333336,30%,151,951,0.1587802313354364,Supply Chain & Logistics
Epic Analyst,Part Time,166400.0,75%,114,798,0.1428571428571428,Data & IT
Epidemiologist,Full Time,99695.7,30%,123,784,0.1568877551020408,Law Enforcement
Epidemiologist,Other,230162.4,30%,123,784,0.1568877551020408,Law Enforcement
Epidemiologist,Part Time,59000.0,30%,123,784,0.1568877551020408,Law Enforcement
Equipment Engineer,Full Time,122977.0,32%,191,1369,0.139517896274653,Hospitality
Equipment Engineer,Other,90480.0,32%,191,1369,0.139517896274653,Hospitality
Equipment Technician,Full Time,50071.6,40%,251,781,0.3213828425096031,Data & IT
Equity Analyst,Full Time,115000.0,65%,162,1066,0.1519699812382739,Medical & Healthcare
Equity Analyst,Other,65520.0,65%,162,1066,0.1519699812382739,Medical & Healthcare
Equity Research Analyst,Full Time,162500.0,65%,162,1066,0.1519699812382739,Supply Chain & Logistics
Escrow Officer,Full Time,41600.0,50%,197,1823,0.1080636313768513,Sales & Marketing
Estate Planning Attorney,Full Time,127500.0,20%,170,1227,0.1385493072534637,Law Enforcement
Esthetician,Full Time,34463.333333333336,5%,777,3116,0.2493581514762516,Law Enforcement
Estimator,Full Time,109615.83088541667,40%,648,2029,0.3193691473632331,Leadership & Strategy
Estimator,Other,108937.4,40%,648,2029,0.3193691473632331,Leadership & Strategy
Event Coordinator,Full Time,47875.0,35%,502,1632,0.3075980392156863,Communication & PR
Event Coordinator,Other,69498.66666666667,35%,502,1632,0.3075980392156863,Communication & PR
Event Coordinator,Part Time,41080.0,35%,502,1632,0.3075980392156863,Communication & PR
Event Manager,Full Time,77500.0,30%,322,2297,0.1401828471919895,Communication & PR
Event Manager,Other,90825.0,30%,322,2297,0.1401828471919895,Communication & PR
Event Manager,Part Time,57500.0,30%,322,2297,0.1401828471919895,Communication & PR
Executive,Full Time,179844.4761702128,15%,1191,4966,0.2398308497784937,Sales & Marketing
Executive,Other,178100.0,15%,1191,4966,0.2398308497784937,Sales & Marketing
Executive Assistant,Full Time,92892.21179999999,85%,276,2112,0.1306818181818181,Hospitality
Executive Assistant,Other,88036.8,85%,276,2112,0.1306818181818181,Hospitality
Executive Assistant,Part Time,62080.0,85%,276,2112,0.1306818181818181,Hospitality
Executive Chef,Full Time,94041.66666666667,35%,299,1007,0.2969215491559086,Data & IT
Executive Director,Full Time,145112.96153846153,15%,1129,4402,0.2564743298500681,Sales & Marketing
Executive Director,Part Time,65000.0,15%,1129,4402,0.2564743298500681,Sales & Marketing
Executive Manager,Full Time,244200.0,15%,995,3985,0.2496863237139272,Data & IT
Executive Producer,Full Time,133125.0,65%,182,1302,0.1397849462365591,Law Enforcement
Executive Secretary,Full Time,83148.0,75%,159,1176,0.135204081632653,Supply Chain & Logistics
Executive Sous Chef,Full Time,80500.0,30%,140,815,0.1717791411042944,Communication & PR
Executive Sous Chef,Other,70000.0,30%,140,815,0.1717791411042944,Communication & PR
Exercise Physiologist,Full Time,58728.8,20%,645,2517,0.2562574493444577,Communication & PR
Exercise Physiologist,Part Time,58728.8,20%,645,2517,0.2562574493444577,Communication & PR
Expeditor,Full Time,46800.0,30%,155,940,0.1648936170212765,Medical & Healthcare
Expeditor,Part Time,42822.0,30%,155,940,0.1648936170212765,Medical & Healthcare
External Wholesaler,Full Time,335000.0,30%,278,1997,0.1392088132198297,Law Enforcement
Fabricator,Full Time,59314.97142857143,15%,246,1018,0.2416502946954813,Data & IT
Facilitator,Full Time,67736.66666666667,25%,287,2002,0.1433566433566433,Data & IT
Facilitator,Other,35100.0,25%,287,2002,0.1433566433566433,Data & IT
Facilities Coordinator,Full Time,43750.2,50%,156,1117,0.1396598030438675,Administrative & Clerical
Facilities Coordinator,Other,65110.0,50%,156,1117,0.1396598030438675,Administrative & Clerical
Facilities Engineer,Full Time,99420.0,28%,253,1778,0.1422947131608549,Hospitality
Facilities Engineer,Other,119253.33333333333,28%,253,1778,0.1422947131608549,Hospitality
Facilities Maintenance,Full Time,69783.33333333333,55%,66,578,0.1141868512110726,Administrative & Clerical
Facilities Maintenance,Other,94640.0,55%,66,578,0.1141868512110726,Administrative & Clerical
Facilities Manager,Full Time,92726.76970588235,20%,206,1345,0.1531598513011152,Medical & Healthcare
Facilities Manager,Other,56019.6,20%,206,1345,0.1531598513011152,Medical & Healthcare
Facility Engineer,Full Time,96051.0,28%,254,1788,0.1420581655480984,Communication & PR
Facility Manager,Full Time,70500.0,30%,168,976,0.1721311475409836,Medical & Healthcare
Facility Manager,Part Time,43750.0,30%,168,976,0.1721311475409836,Medical & Healthcare
Facility Security Officer,Full Time,109500.0,20%,152,1179,0.1289228159457167,Leadership & Strategy
Facility Technician,Full Time,53560.0,20%,118,848,0.1391509433962264,Supply Chain & Logistics
Faculty,Full Time,58517.34857142857,10%,826,3475,0.2376978417266187,Hospitality
Faculty,Part Time,83562.5,10%,826,3475,0.2376978417266187,Hospitality
Failure Analysis Engineer,Full Time,134000.0,32%,196,1498,0.1308411214953271,Communication & PR
Family Support Worker,Full Time,46217.6,35%,454,1560,0.291025641025641,Communication & PR
Farm,Full Time,37440.0,10%,553,2720,0.2033088235294117,Administrative & Clerical
Fashion Stylist,Part Time,41600.0,5%,914,3540,0.2581920903954802,Hospitality
Fiber Optic Technician,Full Time,53040.0,55%,68,632,0.1075949367088607,Medical & Healthcare
Field Application Engineer,Full Time,275000.0,35%,444,1220,0.3639344262295082,Data & IT
Field Application Engineer,Other,52000.0,35%,444,1220,0.3639344262295082,Data & IT
Field Engineer,Full Time,90837.5,28%,257,1801,0.1426985008328706,Data & IT
Field Engineer,Other,93600.0,28%,257,1801,0.1426985008328706,Data & IT
Field Investigator,Full Time,50333.333333333336,40%,628,1840,0.3413043478260869,Supply Chain & Logistics
Field Manager,Full Time,60000.0,25%,220,1459,0.1507882111034955,Communication & PR
Field Representative,Full Time,43152.5,40%,682,2146,0.3178005591798695,Data & IT
Field Sales Manager,Full Time,65000.0,25%,222,1454,0.1526822558459422,Data & IT
Field Sales Representative,Full Time,89166.66666666667,45%,695,2258,0.3077945084145261,Data & IT
Field Sales Representative,Part Time,36400.0,45%,695,2258,0.3077945084145261,Data & IT
Field Service Representative,Full Time,70012.45999999999,45%,622,1903,0.3268523384130321,Administrative & Clerical
Field Service Technician,Full Time,6424287.568627451,43%,581,1682,0.3454221165279429,Hospitality
Field Service Technician,Other,51129.37142857142,43%,581,1682,0.3454221165279429,Hospitality
Field Service Technician,Part Time,64480.0,43%,581,1682,0.3454221165279429,Hospitality
Field Technician,Full Time,47760.924999999996,15%,794,2906,0.2732278045423262,Administrative & Clerical
Field Technician,Other,46355.0,15%,794,2906,0.2732278045423262,Administrative & Clerical
Field Technician,Part Time,35360.0,15%,794,2906,0.2732278045423262,Administrative & Clerical
File Clerk,Other,40213.333333333336,88%,228,1797,0.1268781302170283,Leadership & Strategy
File Clerk,Part Time,37440.0,88%,228,1797,0.1268781302170283,Leadership & Strategy
Film,Full Time,81250.0,20%,241,1577,0.1528218135700697,Communication & PR
Finance Analyst,Full Time,96635.0,65%,168,1242,0.1352657004830917,Construction
Finance Analyst,Other,107120.0,65%,168,1242,0.1352657004830917,Construction
Finance Consultant,Full Time,135000.0,45%,561,1772,0.3165914221218961,Construction
Finance Consultant,Other,156000.0,45%,561,1772,0.3165914221218961,Construction
Finance Director,Full Time,137500.0,10%,1094,4639,0.2358266867859452,Administrative & Clerical
Finance Director,Other,104000.0,10%,1094,4639,0.2358266867859452,Administrative & Clerical
Finance Manager,Full Time,125040.04410256409,30%,306,1997,0.1532298447671507,Construction
Finance Manager,Other,146993.33333333334,30%,306,1997,0.1532298447671507,Construction
Finance Officer,Full Time,204500.0,80%,167,1516,0.1101583113456464,Construction
Finance Specialist,Full Time,104033.33333333333,65%,160,1218,0.1313628899835796,Sales & Marketing
Financial Advisor,Full Time,96175.33528571429,15%,990,3837,0.2580140734949179,Data & IT
Financial Advisor,Other,68993.6,15%,990,3837,0.2580140734949179,Data & IT
Financial Analyst,Full Time,98880.5818095238,70%,172,1125,0.1528888888888888,Construction
Financial Analyst,Other,90643.56764705882,70%,172,1125,0.1528888888888888,Construction
Financial Analyst,Part Time,98000.0,70%,172,1125,0.1528888888888888,Construction
Financial Coordinator,Full Time,54489.75,45%,571,1820,0.3137362637362637,Communication & PR
Financial Counselor,Full Time,42556.8,40%,676,2113,0.3199242782773308,Data & IT
Financial Counselor,Other,37440.0,40%,676,2113,0.3199242782773308,Data & IT
Financial Engineer,Full Time,79625.0,60%,192,1635,0.1174311926605504,Administrative & Clerical
Financial Examiner,Full Time,103125.0,60%,192,1325,0.1449056603773585,Leadership & Strategy
Financial Officer,Full Time,248284.16,30%,216,1427,0.1513665031534688,Communication & PR
Financial Planner,Full Time,112500.0,20%,223,1460,0.1527397260273972,Communication & PR
Financial Planner,Other,46800.0,20%,223,1460,0.1527397260273972,Communication & PR
Financial Reporting Manager,Full Time,139166.66666666666,40%,741,2194,0.3377392889699179,Administrative & Clerical
Financial Representative,Full Time,37700.0,45%,539,1715,0.3142857142857143,Data & IT
Financial Services Representative,Full Time,66100.0,45%,538,1714,0.3138856476079346,Administrative & Clerical
Financial Services Representative,Other,96301.25,45%,538,1714,0.3138856476079346,Administrative & Clerical
Financial Specialist,Full Time,120177.66666666667,70%,174,1127,0.1543921916592724,Sales & Marketing
Financial Specialist,Other,37440.0,70%,174,1127,0.1543921916592724,Sales & Marketing
Financial Specialist,Part Time,39400.0,70%,174,1127,0.1543921916592724,Sales & Marketing
Finisher,Full Time,44309.2,10%,448,2046,0.2189638318670576,Law Enforcement
Finisher,Other,50960.0,10%,448,2046,0.2189638318670576,Law Enforcement
Fire Alarm Technician,Full Time,51082.0,35%,218,777,0.2805662805662806,Construction
Fire Protection Engineer,Other,46800.0,20%,141,1086,0.1298342541436464,Construction
Firefighter,Full Time,128206.37,10%,378,1449,0.2608695652173913,Medical & Healthcare
Firmware Engineer,Full Time,130443.61111111111,65%,238,1635,0.145565749235474,Medical & Healthcare
First Officer,Full Time,169872.5,20%,281,1113,0.252470799640611,Leadership & Strategy
Fisheries Biologist,Full Time,63440.0,20%,140,1110,0.1261261261261261,Supply Chain & Logistics
Fitness Coach,Full Time,114400.0,20%,193,1283,0.1504286827747467,Data & IT
Fitness Manager,Full Time,50250.0,25%,255,1855,0.137466307277628,Administrative & Clerical
Fitter,Full Time,70359.2,30%,98,690,0.1420289855072463,Construction
Fitter,Other,68470.0,30%,98,690,0.1420289855072463,Construction
Flagger,Other,29120.0,10%,214,683,0.3133235724743777,Communication & PR
Flight Nurse,Full Time,125856.0,28%,177,1511,0.1171409662475182,Medical & Healthcare
Floor Manager,Full Time,39520.0,30%,194,1229,0.1578519121236777,Communication & PR
Floor Supervisor,Full Time,42293.333333333336,40%,450,1446,0.3112033195020747,Construction
Floor Supervisor,Part Time,40889.333333333336,40%,450,1446,0.3112033195020747,Construction
Floor Technician,Full Time,30680.0,20%,54,517,0.104448742746615,Supply Chain & Logistics
Food Prep,Full Time,37440.0,25%,129,1314,0.0981735159817351,Sales & Marketing
Food Scientist,Full Time,80000.0,35%,340,1184,0.2871621621621621,Medical & Healthcare
Food Scientist,Part Time,71760.0,35%,340,1184,0.2871621621621621,Medical & Healthcare
Food Service Supervisor,Full Time,54525.0,25%,195,1337,0.1458489154824233,Hospitality
Food Service Worker,Full Time,37290.416666666664,25%,154,1144,0.1346153846153846,Communication & PR
Food Service Worker,Other,35256.0,25%,154,1144,0.1346153846153846,Communication & PR
Food Service Worker,Part Time,30114.873333333333,25%,154,1144,0.1346153846153846,Communication & PR
Food Services Manager,Full Time,62964.59999999999,30%,187,1255,0.149003984063745,Law Enforcement
Foreman,Full Time,73099.15789473684,30%,119,1295,0.0918918918918919,Sales & Marketing
Forensic Accountant,Full Time,97500.0,65%,157,996,0.1576305220883534,Communication & PR
Forensic Specialist,Full Time,66851.2,55%,85,743,0.1144010767160161,Supply Chain & Logistics
Forklift,Full Time,43884.2716981132,60%,22,166,0.1325301204819277,Construction
Forklift,Other,35880.0,60%,22,166,0.1325301204819277,Construction
Forklift,Part Time,43430.4,60%,22,166,0.1325301204819277,Construction
Formulation Scientist,Full Time,86666.66666666667,45%,449,1551,0.2894906511927788,Sales & Marketing
Founder,Full Time,15000.0,5%,972,3668,0.2649945474372955,Law Enforcement
Fraud Investigator,Full Time,124955.5,50%,169,1270,0.1330708661417322,Medical & Healthcare
Freelance,Full Time,104683.42857142857,65%,182,1206,0.1509121061359867,Hospitality
Freelance,Other,88241.03125,65%,182,1206,0.1509121061359867,Hospitality
Freelance,Part Time,62400.0,65%,182,1206,0.1509121061359867,Hospitality
Front Desk,Full Time,40035.6,77%,215,1779,0.1208544125913434,Medical & Healthcare
Front Desk,Other,41600.0,77%,215,1779,0.1208544125913434,Medical & Healthcare
Front Desk,Part Time,41824.64,77%,215,1779,0.1208544125913434,Medical & Healthcare
Front Office Coordinator,Full Time,41600.0,40%,873,2608,0.3347392638036809,Administrative & Clerical
Front Office Manager,Full Time,75214.28571428571,20%,1,2,0.5,Sales & Marketing
Front Office Receptionist,Full Time,36000.0,75%,226,1812,0.1247240618101545,Sales & Marketing
Front Office Receptionist,Other,37440.0,75%,226,1812,0.1247240618101545,Sales & Marketing
Front Office Supervisor,Full Time,41704.0,35%,468,1627,0.2876459741856177,Medical & Healthcare
Full Charge Bookkeeper,Full Time,55359.166666666664,75%,123,858,0.1433566433566433,Hospitality
Fund Accountant,Full Time,108333.33333333333,70%,130,874,0.148741418764302,Hospitality
Fund Accountant,Other,51997.0,70%,130,874,0.148741418764302,Hospitality
Fund Accounting Manager,Full Time,143750.0,35%,483,1612,0.2996277915632754,Communication & PR
Fundraiser,Full Time,80000.0,50%,164,1393,0.1177315147164393,Construction
Fundraiser,Other,75000.0,50%,164,1393,0.1177315147164393,Construction
Fundraising Manager,Full Time,81250.0,40%,867,2659,0.3260624294847687,Law Enforcement
Funeral Director,Full Time,65000.0,5%,323,1322,0.2443267776096823,Construction
Game Designer,Full Time,149135.0,60%,171,1413,0.1210191082802547,Leadership & Strategy
Gardener,Full Time,40898.0,10%,229,911,0.2513721185510428,Supply Chain & Logistics
Gas Controller,Full Time,127500.0,50%,122,802,0.1521197007481296,Administrative & Clerical
Gas Technician,Full Time,46800.0,15%,545,2418,0.2253928866832092,Supply Chain & Logistics
Gastroenterologist,Full Time,350000.0,10%,430,1784,0.2410313901345291,Sales & Marketing
General Clerk,Full Time,46756.0,90%,242,1903,0.1271676300578034,Hospitality
General Clerk,Other,54080.0,90%,242,1903,0.1271676300578034,Hospitality
General Counsel,Full Time,223839.125,15%,1056,4223,0.2500591996211224,Hospitality
General Labor,Full Time,38987.86666666667,60%,19,409,0.0464547677261613,Medical & Healthcare
General Labor,Part Time,37648.0,60%,19,409,0.0464547677261613,Medical & Healthcare
General Laborer,Full Time,41731.2,60%,9,138,0.0652173913043478,Leadership & Strategy
General Maintenance Technician,Full Time,51391.0,45%,299,1114,0.2684021543985637,Data & IT
General Manager,Full Time,102545.23064356435,25%,231,1484,0.1556603773584905,Medical & Healthcare
General Manager,Other,80000.0,25%,231,1484,0.1556603773584905,Medical & Healthcare
General Manager,Part Time,41500.0,25%,231,1484,0.1556603773584905,Medical & Healthcare
General Office Clerk,Full Time,43680.0,85%,245,1912,0.1281380753138075,Communication & PR
General Worker,Full Time,53102.4,60%,19,409,0.0464547677261613,Supply Chain & Logistics
Generalist,Full Time,78524.86666666667,40%,527,1657,0.3180446590223295,Leadership & Strategy
Generalist,Other,80329.59999999999,40%,527,1657,0.3180446590223295,Leadership & Strategy
Generalist,Part Time,52500.0,40%,527,1657,0.3180446590223295,Leadership & Strategy
Generator Technician,Full Time,65866.66666666667,35%,232,841,0.2758620689655172,Sales & Marketing
Geologist,Full Time,99375.0,15%,400,1534,0.2607561929595828,Law Enforcement
Geophysicist,Other,50960.0,20%,150,1174,0.1277683134582623,Sales & Marketing
Geotechnical Engineer,Full Time,133640.3,20%,156,1150,0.1356521739130435,Sales & Marketing
Global Account Manager,Full Time,55000.0,15%,978,3921,0.2494261667941851,Leadership & Strategy
Grant Accountant,Full Time,70500.0,75%,128,886,0.1444695259593679,Communication & PR
Grant Accountant,Other,86320.0,75%,128,886,0.1444695259593679,Communication & PR
Grant Coordinator,Full Time,97442.7,35%,499,1630,0.3061349693251534,Hospitality
Greeter,Full Time,43326.4,35%,277,900,0.3077777777777777,Supply Chain & Logistics
Greeter,Other,45052.8,35%,277,900,0.3077777777777777,Supply Chain & Logistics
Grocer,Full Time,58215.260714285716,80%,50,377,0.1326259946949602,Law Enforcement
Grocer,Part Time,43537.86666666667,80%,50,377,0.1326259946949602,Law Enforcement
Groomer,Full Time,33345.0,20%,58,357,0.1624649859943977,Law Enforcement
Groomer,Part Time,30160.0,20%,58,357,0.1624649859943977,Law Enforcement
Groundskeeper,Full Time,36408.91428571429,20%,40,281,0.1423487544483986,Law Enforcement
Group Sales Manager,Full Time,82500.0,45%,795,2555,0.3111545988258317,Leadership & Strategy
Guard,Other,35360.0,15%,326,1280,0.2546875,Communication & PR
Guard,Part Time,70116.0,15%,326,1280,0.2546875,Communication & PR
Guest Services,Full Time,67497.58055555556,40%,558,1668,0.3345323741007194,Hospitality
Guest Services,Part Time,66560.0,40%,558,1668,0.3345323741007194,Hospitality
Guide,Full Time,68737.1,20%,72,479,0.150313152400835,Data & IT
Guide,Part Time,44970.8,20%,72,479,0.150313152400835,Data & IT
Hadoop Developer,Full Time,110000.0,80%,181,1643,0.1101643335362142,Sales & Marketing
Hair Stylist,Full Time,32250.4,5%,543,1992,0.2725903614457831,Data & IT
Hairstylist,Full Time,55000.0,25%,127,992,0.1280241935483871,Data & IT
Handyman,Full Time,65520.0,18%,212,919,0.2306855277475517,Hospitality
Hardware Engineer,Full Time,140814.375,50%,465,1829,0.2542372881355932,Law Enforcement
Hardware Engineer,Other,106430.0,50%,465,1829,0.2542372881355932,Law Enforcement
Hardware Technician,Full Time,62962.5,15%,785,2771,0.2832912306026705,Supply Chain & Logistics
Health And Safety Manager,Full Time,140000.0,20%,203,1303,0.1557943207981581,Sales & Marketing
Health Coach,Full Time,59582.13333333333,35%,404,1322,0.3055975794251134,Construction
Health Information Manager,Full Time,42640.0,40%,735,2315,0.3174946004319654,Communication & PR
Health Inspector,Full Time,108611.0,40%,300,903,0.3322259136212624,Communication & PR
Health Physicist,Full Time,80000.0,25%,233,1701,0.1369782480893592,Data & IT
Health Psychologist,Other,62.24,25%,211,1626,0.1297662976629766,Hospitality
Health Services Manager,Full Time,87068.1,35%,436,1437,0.3034098816979819,Medical & Healthcare
Health Teacher,Full Time,96500.0,20%,166,1262,0.1315372424722662,Data & IT
Health Technician,Full Time,36746.666666666664,25%,230,1743,0.1319563970166379,Construction
Health Technician,Part Time,37128.0,25%,230,1743,0.1319563970166379,Construction
Healthcare Data Analyst,Full Time,100282.965,65%,230,1609,0.1429459291485394,Sales & Marketing
Healthcare Project Manager,Other,171600.0,60%,169,1539,0.1098115659519168,Medical & Healthcare
Heavy Equipment Mechanic,Full Time,68281.5,40%,242,924,0.2619047619047619,Medical & Healthcare
Helicopter Pilot,Full Time,77500.0,20%,262,1054,0.2485768500948766,Law Enforcement
Help Desk,Full Time,67461.37217391304,65%,133,1047,0.1270296084049665,Leadership & Strategy
Help Desk,Other,49073.59411764706,65%,133,1047,0.1270296084049665,Leadership & Strategy
Help Desk,Part Time,49920.0,65%,133,1047,0.1270296084049665,Leadership & Strategy
Helper,Full Time,44400.2,15%,545,2280,0.2390350877192982,Data & IT
Helper,Part Time,48900.8,15%,545,2280,0.2390350877192982,Data & IT
Histology Technician,Full Time,43326.4,30%,113,1143,0.0988626421697287,Sales & Marketing
Histology Technician,Other,100360.0,30%,113,1143,0.0988626421697287,Sales & Marketing
